subject,activity,file,tier,pass_rate,mean_score,total_windows,detected_hz,gold_count,silver_count,bronze_count,rejected_count,accel_cols,gyro_cols
S1,ADL1,S1-ADL1,SILVER,0.929,58.6,99,30.3,0,88,4,7,"[2, 5, 17]","[1, 16, 39]"
S1,ADL2,S1-ADL2,SILVER,0.878,55.5,90,30.3,0,62,17,11,"[2, 5, 8]","[6, 16, 42]"
S1,ADL3,S1-ADL3,SILVER,0.956,58.0,91,30.3,0,81,6,4,"[2, 5, 8]","[6, 16, 21]"
S1,ADL4,S1-ADL4,SILVER,0.936,57.9,94,30.3,0,81,7,6,"[2, 5, 8]","[6, 16, 21]"
S1,ADL5,S1-ADL5,SILVER,0.945,57.9,91,30.3,0,78,8,5,"[2, 5, 17]","[1, 16, 21]"
S1,Drill,S1-Drill,SILVER,0.958,58.5,95,30.3,0,90,1,4,"[2, 5, 17]","[3, 16, 21]"
S2,ADL1,S2-ADL1,SILVER,0.947,59.3,94,30.3,1,83,5,5,"[2, 5, 8]","[1, 3, 4]"
S2,ADL2,S2-ADL2,SILVER,0.929,59.3,98,30.3,5,68,18,7,"[2, 5, 20]","[1, 4, 22]"
S2,ADL3,S2-ADL3,SILVER,0.939,57.9,98,30.3,0,80,12,6,"[2, 5, 8]","[1, 4, 6]"
S2,ADL4,S2-ADL4,SILVER,0.857,57.4,98,30.3,0,74,10,14,"[2, 5, 8]","[1, 3, 4]"
S2,ADL5,S2-ADL5,SILVER,0.908,56.4,98,30.3,1,68,20,9,"[2, 5, 8]","[1, 12, 16]"
S2,Drill,S2-Drill,SILVER,0.929,58.0,98,30.3,0,90,1,7,"[2, 5, 17]","[1, 4, 16]"
S3,ADL1,S3-ADL1,SILVER,0.854,58.6,96,30.3,0,76,6,14,"[3, 5, 9]","[1, 2, 4]"
S3,ADL2,S3-ADL2,SILVER,0.77,54.8,74,30.3,1,46,10,17,"[2, 5, 17]","[1, 16, 19]"
S3,ADL3,S3-ADL3,SILVER,0.882,56.8,85,30.3,0,65,10,10,"[2, 5, 8]","[1, 6, 16]"
S3,ADL4,S3-ADL4,REJECTED,0.333,48.8,72,30.3,0,11,13,48,"[2, 5, 8]","[16, 21, 38]"
S3,ADL5,S3-ADL5,SILVER,0.843,57.1,89,30.3,0,71,4,14,"[2, 5, 17]","[1, 6, 16]"
S3,Drill,S3-Drill,SILVER,0.808,57.7,99,30.3,1,79,0,19,"[2, 5, 17]","[1, 6, 16]"
S4,ADL1,S4-ADL1,SILVER,0.862,57.0,94,30.3,0,74,7,13,"[2, 5, 9]","[1, 3, 4]"
S4,ADL2,S4-ADL2,SILVER,0.845,56.5,84,30.3,0,63,8,13,"[2, 5, 9]","[3, 4, 21]"
S4,ADL4,S4-ADL4,SILVER,0.932,57.5,73,30.3,0,61,7,5,"[2, 5, 10]","[3, 4, 21]"
S4,ADL5,S4-ADL5,SILVER,0.879,57.2,91,30.3,0,73,7,11,"[2, 5, 17]","[3, 4, 21]"
S4,Drill,S4-Drill,SILVER,0.913,58.8,92,30.3,0,82,2,8,"[2, 5, 17]","[1, 3, 4]"
