subject,activity,file,total_windows,pass_rate,mean_score,tier_summary,gold,silver,bronze,rejected,sensor,accel_cols,gyro_cols,scale
S1,ADL1,S1-ADL1,100,0.83,59.9,SILVER,0,83,6,11,RUA_documented,10-12,50-52,milli-g*0.00981
S1,ADL2,S1-ADL2,100,0.66,55.7,SILVER,0,66,17,17,RUA_documented,10-12,50-52,milli-g*0.00981
S1,ADL3,S1-ADL3,100,0.83,58.9,SILVER,0,83,8,9,RUA_documented,10-12,50-52,milli-g*0.00981
S1,ADL4,S1-ADL4,100,0.83,58.9,SILVER,2,81,7,10,RUA_documented,10-12,50-52,milli-g*0.00981
S1,ADL5,S1-ADL5,100,0.67,57.1,SILVER,1,66,19,14,RUA_documented,10-12,50-52,milli-g*0.00981
S1,Drill,S1-Drill,100,0.79,58.4,SILVER,0,79,20,1,RUA_documented,10-12,50-52,milli-g*0.00981
S2,ADL1,S2-ADL1,100,0.22,49.5,REJECTED,0,22,23,55,RUA_documented,10-12,50-52,milli-g*0.00981
S2,ADL2,S2-ADL2,100,0.57,54.9,SILVER,0,57,22,21,RUA_documented,10-12,50-52,milli-g*0.00981
S2,ADL3,S2-ADL3,100,0.91,60.8,SILVER,0,91,5,4,RUA_documented,10-12,50-52,milli-g*0.00981
S2,ADL4,S2-ADL4,100,0.9,59.8,SILVER,4,86,8,2,RUA_documented,10-12,50-52,milli-g*0.00981
S2,ADL5,S2-ADL5,100,0.9,60.3,SILVER,1,89,9,1,RUA_documented,10-12,50-52,milli-g*0.00981
S2,Drill,S2-Drill,100,0.88,61.0,SILVER,2,86,7,5,RUA_documented,10-12,50-52,milli-g*0.00981
S3,ADL1,S3-ADL1,99,0.202,50.3,REJECTED,0,20,29,50,RUA_documented,10-12,50-52,milli-g*0.00981
S3,ADL2,S3-ADL2,100,0.76,57.6,SILVER,0,76,9,15,RUA_documented,10-12,50-52,milli-g*0.00981
S3,ADL3,S3-ADL3,100,0.55,55.5,SILVER,1,54,24,21,RUA_documented,10-12,50-52,milli-g*0.00981
S3,ADL4,S3-ADL4,100,0.62,55.9,SILVER,1,61,14,24,RUA_documented,10-12,50-52,milli-g*0.00981
S3,ADL5,S3-ADL5,98,0.806,59.1,SILVER,1,78,12,7,RUA_documented,10-12,50-52,milli-g*0.00981
S3,Drill,S3-Drill,100,0.76,59.1,SILVER,1,75,16,8,RUA_documented,10-12,50-52,milli-g*0.00981
S4,ADL1,S4-ADL1,100,0.77,57.8,SILVER,2,75,12,11,RUA_documented,10-12,50-52,milli-g*0.00981
S4,ADL2,S4-ADL2,100,0.78,59.2,SILVER,2,76,15,7,RUA_documented,10-12,50-52,milli-g*0.00981
S4,ADL3,S4-ADL3,94,0.734,57.3,SILVER,1,68,17,8,RUA_documented,10-12,50-52,milli-g*0.00981
S4,ADL4,S4-ADL4,80,0.688,56.4,SILVER,0,55,14,11,RUA_documented,10-12,50-52,milli-g*0.00981
S4,ADL5,S4-ADL5,100,0.69,57.0,SILVER,0,69,15,16,RUA_documented,10-12,50-52,milli-g*0.00981
S4,Drill,S4-Drill,100,0.61,55.8,SILVER,0,61,26,13,RUA_documented,10-12,50-52,milli-g*0.00981
